prompt_id,bloom,bloom_band,subject,subject_family,knowledge_state,learning_stage,learning_context
P0322,Analyze,AA,Art History,humanistic,informed,competency_development,collaborative
P0326,Create,EC,Psychology,natural,informed,conceptual_orientation,collaborative
P0327,Understand,RU,Sociology,applied,misinformed,comprehensive_mastery,autonomous
P0329,Evaluate,EC,Computer Science,formal,informed,conceptual_orientation,collaborative
P0334,Evaluate,EC,Biology,natural,novice,conceptual_orientation,collaborative
P0337,Remember,RU,Physics,formal,informed,conceptual_orientation,guided
P0339,Analyze,AA,Physics,formal,informed,competency_development,collaborative
P0340,Analyze,AA,Computer Science,formal,misinformed,competency_development,autonomous
P0343,Remember,RU,Biology,natural,misinformed,comprehensive_mastery,guided
P0344,Remember,RU,History,humanistic,misinformed,comprehensive_mastery,collaborative
P0345,Apply,AA,Biology,natural,misinformed,conceptual_orientation,guided
P0347,Understand,RU,Art History,humanistic,informed,comprehensive_mastery,guided
P0348,Create,EC,Mathematics,formal,novice,comprehensive_mastery,guided
P0349,Create,EC,Mathematics,formal,novice,skill_building,guided
P0353,Understand,RU,Psychology,natural,informed,skill_building,guided
P0355,Understand,RU,Ethics,humanistic,novice,conceptual_orientation,guided
P0356,Understand,RU,Sociology,applied,informed,conceptual_orientation,collaborative
P0358,Analyze,AA,Mathematics,formal,novice,skill_building,guided
P0362,Understand,RU,History,humanistic,novice,competency_development,guided
P0364,Understand,RU,Ethics,humanistic,informed,conceptual_orientation,guided
P0365,Create,EC,Art History,humanistic,novice,competency_development,guided
P0367,Remember,RU,Literature,humanistic,informed,comprehensive_mastery,collaborative
P0374,Apply,AA,Literature,humanistic,informed,conceptual_orientation,guided
P0376,Analyze,AA,Physics,formal,misinformed,skill_building,collaborative
P0381,Analyze,AA,Ethics,humanistic,informed,conceptual_orientation,collaborative
P0382,Understand,RU,Physics,formal,novice,skill_building,collaborative
P0384,Evaluate,EC,History,humanistic,misinformed,competency_development,autonomous
P0386,Analyze,AA,Physics,formal,informed,conceptual_orientation,guided
P0387,Understand,RU,Psychology,natural,misinformed,competency_development,autonomous
P0391,Analyze,AA,Ethics,humanistic,novice,competency_development,guided
P0400,Remember,RU,Ethics,humanistic,informed,skill_building,guided
P0405,Understand,RU,Biology,natural,novice,competency_development,guided
P0406,Analyze,AA,Mathematics,formal,informed,competency_development,guided
P0408,Create,EC,Sociology,applied,misinformed,comprehensive_mastery,autonomous
P0409,Understand,RU,Literature,humanistic,misinformed,comprehensive_mastery,collaborative
P0412,Understand,RU,Sociology,applied,novice,skill_building,collaborative
P0419,Create,EC,Biology,natural,misinformed,competency_development,collaborative
P0420,Apply,AA,Literature,humanistic,misinformed,competency_development,guided
P0423,Remember,RU,Computer Science,formal,misinformed,comprehensive_mastery,guided
P0434,Analyze,AA,Ethics,humanistic,informed,comprehensive_mastery,collaborative
P0435,Apply,AA,History,humanistic,misinformed,skill_building,guided
P0437,Understand,RU,Literature,humanistic,informed,conceptual_orientation,guided
P0438,Understand,RU,Art History,humanistic,informed,conceptual_orientation,collaborative
P0439,Remember,RU,Physics,formal,informed,skill_building,guided
P0440,Evaluate,EC,Mathematics,formal,novice,skill_building,guided
P0445,Analyze,AA,Psychology,natural,novice,comprehensive_mastery,collaborative
P0446,Analyze,AA,Mathematics,formal,informed,comprehensive_mastery,collaborative
P0449,Analyze,AA,History,humanistic,informed,competency_development,guided
P0457,Remember,RU,Computer Science,formal,informed,conceptual_orientation,collaborative
P0464,Remember,RU,History,humanistic,misinformed,competency_development,collaborative
P0465,Create,EC,History,humanistic,novice,skill_building,collaborative
P0466,Remember,RU,Mathematics,formal,misinformed,comprehensive_mastery,collaborative
P0468,Understand,RU,Literature,humanistic,misinformed,skill_building,guided
P0471,Analyze,AA,Ethics,humanistic,informed,conceptual_orientation,guided
P0472,Evaluate,EC,Literature,humanistic,misinformed,conceptual_orientation,collaborative
P0475,Understand,RU,History,humanistic,misinformed,competency_development,guided
P0479,Evaluate,EC,Sociology,applied,informed,conceptual_orientation,collaborative
P0482,Evaluate,EC,History,humanistic,misinformed,competency_development,guided
P0483,Create,EC,Physics,formal,informed,competency_development,autonomous
P0486,Analyze,AA,Literature,humanistic,informed,competency_development,autonomous
P0492,Analyze,AA,Psychology,natural,informed,competency_development,collaborative
P0493,Apply,AA,Physics,formal,misinformed,competency_development,guided
P0495,Apply,AA,Biology,natural,informed,skill_building,autonomous
P0497,Create,EC,History,humanistic,misinformed,skill_building,guided
P0498,Analyze,AA,Computer Science,formal,informed,conceptual_orientation,collaborative
P0500,Evaluate,EC,Mathematics,formal,informed,skill_building,collaborative
P0504,Create,EC,Literature,humanistic,misinformed,comprehensive_mastery,guided
P0507,Remember,RU,Ethics,humanistic,novice,conceptual_orientation,collaborative
P0508,Analyze,AA,History,humanistic,novice,comprehensive_mastery,guided
P0513,Analyze,AA,Sociology,applied,informed,conceptual_orientation,guided
P0518,Understand,RU,Biology,natural,misinformed,comprehensive_mastery,collaborative
P0525,Understand,RU,Psychology,natural,misinformed,skill_building,guided
P0528,Analyze,AA,History,humanistic,misinformed,skill_building,collaborative
P0534,Evaluate,EC,Mathematics,formal,informed,competency_development,guided
P0536,Evaluate,EC,History,humanistic,misinformed,skill_building,guided
P0539,Evaluate,EC,Biology,natural,novice,conceptual_orientation,autonomous
P0542,Analyze,AA,Art History,humanistic,informed,skill_building,collaborative
P0543,Understand,RU,Sociology,applied,informed,skill_building,collaborative
P0545,Analyze,AA,Ethics,humanistic,misinformed,competency_development,guided
P0547,Analyze,AA,Biology,natural,novice,skill_building,guided
P0548,Analyze,AA,Sociology,applied,novice,conceptual_orientation,guided
P0554,Remember,RU,Biology,natural,informed,conceptual_orientation,guided
P0557,Apply,AA,Art History,humanistic,informed,conceptual_orientation,collaborative
P0562,Apply,AA,Psychology,natural,misinformed,conceptual_orientation,guided
P0570,Remember,RU,Physics,formal,novice,comprehensive_mastery,guided
P0573,Remember,RU,History,humanistic,misinformed,skill_building,collaborative
P0574,Evaluate,EC,Literature,humanistic,informed,conceptual_orientation,collaborative
P0575,Create,EC,Psychology,natural,informed,skill_building,collaborative
P0578,Analyze,AA,Literature,humanistic,novice,competency_development,collaborative
P0580,Analyze,AA,Mathematics,formal,novice,conceptual_orientation,guided
P0581,Evaluate,EC,Physics,formal,informed,comprehensive_mastery,guided
P0582,Analyze,AA,Sociology,applied,misinformed,conceptual_orientation,collaborative
P0583,Analyze,AA,Ethics,humanistic,novice,skill_building,collaborative
P0588,Remember,RU,Literature,humanistic,misinformed,skill_building,collaborative
P0589,Remember,RU,Art History,humanistic,informed,comprehensive_mastery,guided
P0593,Understand,RU,Physics,formal,misinformed,conceptual_orientation,collaborative
P0595,Apply,AA,Literature,humanistic,misinformed,skill_building,guided
P0599,Apply,AA,Mathematics,formal,novice,skill_building,guided
P0600,Evaluate,EC,Mathematics,formal,informed,comprehensive_mastery,guided
P0602,Create,EC,Ethics,humanistic,misinformed,comprehensive_mastery,collaborative
P0603,Remember,RU,Psychology,natural,misinformed,skill_building,guided
P0604,Evaluate,EC,Physics,formal,informed,conceptual_orientation,guided
P0606,Remember,RU,Ethics,humanistic,misinformed,comprehensive_mastery,guided
P0607,Create,EC,Literature,humanistic,misinformed,conceptual_orientation,collaborative
P0608,Understand,RU,Mathematics,formal,novice,comprehensive_mastery,autonomous
P0610,Create,EC,Sociology,applied,informed,comprehensive_mastery,collaborative
P0613,Evaluate,EC,Mathematics,formal,novice,skill_building,collaborative
P0618,Analyze,AA,Computer Science,formal,novice,comprehensive_mastery,guided
P0620,Apply,AA,Mathematics,formal,informed,competency_development,autonomous
P0622,Evaluate,EC,Physics,formal,informed,skill_building,guided
P0630,Apply,AA,Ethics,humanistic,novice,conceptual_orientation,guided
P0631,Evaluate,EC,Literature,humanistic,novice,competency_development,collaborative
P0633,Evaluate,EC,Mathematics,formal,misinformed,skill_building,collaborative
P0636,Create,EC,Sociology,applied,informed,conceptual_orientation,collaborative
P0637,Analyze,AA,Literature,humanistic,misinformed,skill_building,guided
P0638,Understand,RU,Sociology,applied,novice,conceptual_orientation,guided
P0641,Evaluate,EC,Ethics,humanistic,misinformed,skill_building,guided
P0643,Remember,RU,Biology,natural,misinformed,comprehensive_mastery,autonomous
P0646,Apply,AA,Sociology,applied,novice,conceptual_orientation,guided
P0648,Create,EC,Ethics,humanistic,novice,skill_building,guided
P0650,Apply,AA,Mathematics,formal,misinformed,skill_building,autonomous
P0651,Understand,RU,Biology,natural,informed,comprehensive_mastery,guided
P0652,Evaluate,EC,Art History,humanistic,misinformed,conceptual_orientation,guided
P0657,Evaluate,EC,Sociology,applied,informed,competency_development,guided
P0658,Analyze,AA,Sociology,applied,misinformed,comprehensive_mastery,guided
P0662,Remember,RU,Biology,natural,informed,conceptual_orientation,collaborative
P0663,Understand,RU,Ethics,humanistic,informed,skill_building,guided
P0666,Understand,RU,Literature,humanistic,novice,competency_development,guided
P0668,Analyze,AA,Biology,natural,misinformed,skill_building,collaborative
P0669,Understand,RU,Art History,humanistic,misinformed,skill_building,collaborative
P0672,Create,EC,Biology,natural,novice,competency_development,guided
P0673,Remember,RU,Mathematics,formal,informed,comprehensive_mastery,guided
P0674,Create,EC,Ethics,humanistic,misinformed,competency_development,collaborative
P0675,Apply,AA,Mathematics,formal,misinformed,competency_development,guided
P0679,Evaluate,EC,Sociology,applied,novice,competency_development,autonomous
P0681,Remember,RU,Psychology,natural,misinformed,comprehensive_mastery,collaborative
P0682,Remember,RU,Physics,formal,misinformed,skill_building,autonomous
P0684,Create,EC,Ethics,humanistic,misinformed,skill_building,guided
P0688,Apply,AA,History,humanistic,informed,skill_building,collaborative
P0692,Analyze,AA,Literature,humanistic,novice,conceptual_orientation,guided
P0695,Evaluate,EC,Ethics,humanistic,novice,conceptual_orientation,guided
P0697,Create,EC,Sociology,applied,novice,skill_building,guided
P0698,Remember,RU,Psychology,natural,informed,conceptual_orientation,collaborative
P0699,Apply,AA,Biology,natural,novice,comprehensive_mastery,guided
P0702,Understand,RU,Art History,humanistic,novice,conceptual_orientation,guided
P0712,Evaluate,EC,Biology,natural,misinformed,skill_building,guided
P0714,Understand,RU,Literature,humanistic,novice,skill_building,guided
P0717,Understand,RU,History,humanistic,novice,conceptual_orientation,collaborative
P0725,Understand,RU,Computer Science,formal,novice,conceptual_orientation,guided
P0726,Understand,RU,Psychology,natural,novice,comprehensive_mastery,guided
P0729,Create,EC,Literature,humanistic,informed,comprehensive_mastery,guided
P0730,Analyze,AA,History,humanistic,novice,conceptual_orientation,guided
P0737,Create,EC,Biology,natural,novice,conceptual_orientation,guided
P0748,Evaluate,EC,Art History,humanistic,informed,conceptual_orientation,guided
P0751,Evaluate,EC,Mathematics,formal,misinformed,competency_development,collaborative
P0753,Apply,AA,Physics,formal,novice,competency_development,guided
P0755,Analyze,AA,Biology,natural,misinformed,competency_development,collaborative
P0758,Apply,AA,Physics,formal,misinformed,skill_building,guided
P0759,Remember,RU,Art History,humanistic,misinformed,conceptual_orientation,guided
P0760,Understand,RU,Computer Science,formal,misinformed,comprehensive_mastery,guided
P0762,Understand,RU,Ethics,humanistic,informed,conceptual_orientation,collaborative
P0763,Evaluate,EC,History,humanistic,novice,comprehensive_mastery,guided
P0766,Understand,RU,Psychology,natural,novice,skill_building,autonomous
P0772,Understand,RU,Mathematics,formal,novice,competency_development,guided
P0777,Evaluate,EC,History,humanistic,misinformed,skill_building,collaborative
P0787,Analyze,AA,Computer Science,formal,misinformed,conceptual_orientation,autonomous
P0792,Understand,RU,Physics,formal,novice,comprehensive_mastery,autonomous
P0794,Apply,AA,Ethics,humanistic,misinformed,competency_development,guided
P0797,Analyze,AA,History,humanistic,misinformed,comprehensive_mastery,collaborative
P0799,Understand,RU,Literature,humanistic,misinformed,competency_development,autonomous
P0801,Create,EC,Sociology,applied,informed,skill_building,guided
P0803,Apply,AA,Biology,natural,misinformed,comprehensive_mastery,collaborative
P0804,Apply,AA,Literature,humanistic,informed,competency_development,guided
P0806,Understand,RU,Biology,natural,novice,skill_building,autonomous
P0807,Analyze,AA,Sociology,applied,novice,conceptual_orientation,collaborative
P0810,Remember,RU,Art History,humanistic,misinformed,comprehensive_mastery,guided
P0814,Evaluate,EC,Computer Science,formal,misinformed,comprehensive_mastery,guided
P0815,Analyze,AA,Computer Science,formal,novice,competency_development,guided
P0816,Understand,RU,Sociology,applied,novice,competency_development,guided
P0817,Analyze,AA,Biology,natural,informed,skill_building,guided
P0818,Remember,RU,Literature,humanistic,misinformed,conceptual_orientation,collaborative
P0819,Analyze,AA,Art History,humanistic,informed,skill_building,guided
P0824,Understand,RU,Psychology,natural,novice,conceptual_orientation,guided
P0828,Understand,RU,Computer Science,formal,novice,comprehensive_mastery,collaborative
P0831,Remember,RU,Art History,humanistic,informed,skill_building,collaborative
P0832,Analyze,AA,Ethics,humanistic,misinformed,skill_building,guided
P0833,Apply,AA,Biology,natural,informed,competency_development,guided
P0835,Create,EC,Sociology,applied,informed,conceptual_orientation,guided
P0837,Create,EC,Ethics,humanistic,misinformed,conceptual_orientation,collaborative
P0839,Evaluate,EC,Biology,natural,novice,skill_building,guided
P0841,Create,EC,Art History,humanistic,novice,skill_building,collaborative
P0843,Evaluate,EC,Biology,natural,informed,skill_building,collaborative
P0845,Evaluate,EC,Computer Science,formal,informed,skill_building,collaborative
P0848,Remember,RU,Physics,formal,misinformed,skill_building,guided
P0849,Apply,AA,Psychology,natural,informed,comprehensive_mastery,guided
P0850,Evaluate,EC,Mathematics,formal,informed,competency_development,autonomous
P0857,Evaluate,EC,Psychology,natural,misinformed,conceptual_orientation,collaborative
P0862,Create,EC,Physics,formal,informed,competency_development,collaborative
P0866,Analyze,AA,Biology,natural,novice,conceptual_orientation,collaborative
P0872,Evaluate,EC,Art History,humanistic,misinformed,comprehensive_mastery,autonomous
P0873,Create,EC,Art History,humanistic,misinformed,comprehensive_mastery,collaborative
P0875,Evaluate,EC,Psychology,natural,novice,conceptual_orientation,guided
P0877,Analyze,AA,Biology,natural,informed,comprehensive_mastery,guided
P0878,Remember,RU,Computer Science,formal,misinformed,competency_development,collaborative
P0881,Understand,RU,Sociology,applied,misinformed,skill_building,collaborative
P0882,Remember,RU,Physics,formal,informed,comprehensive_mastery,guided
P0883,Analyze,AA,Literature,humanistic,misinformed,conceptual_orientation,guided
P0884,Remember,RU,Sociology,applied,informed,competency_development,autonomous
P0888,Evaluate,EC,Mathematics,formal,novice,comprehensive_mastery,guided
P0890,Create,EC,Literature,humanistic,informed,skill_building,collaborative
P0893,Apply,AA,Mathematics,formal,novice,comprehensive_mastery,guided
P0896,Analyze,AA,Psychology,natural,misinformed,competency_development,guided
P0900,Understand,RU,Art History,humanistic,misinformed,comprehensive_mastery,guided
P0903,Analyze,AA,Biology,natural,novice,conceptual_orientation,guided
P0906,Remember,RU,Literature,humanistic,misinformed,competency_development,guided
P0907,Apply,AA,Ethics,humanistic,misinformed,competency_development,collaborative
P0908,Apply,AA,Art History,humanistic,novice,conceptual_orientation,guided
P0913,Understand,RU,History,humanistic,informed,competency_development,collaborative
P0917,Remember,RU,Physics,formal,misinformed,comprehensive_mastery,collaborative
P0918,Understand,RU,Literature,humanistic,novice,conceptual_orientation,collaborative
P0919,Apply,AA,Ethics,humanistic,novice,comprehensive_mastery,guided
P0920,Analyze,AA,Mathematics,formal,novice,comprehensive_mastery,guided
P0922,Evaluate,EC,Mathematics,formal,misinformed,comprehensive_mastery,collaborative
P0924,Apply,AA,Literature,humanistic,novice,skill_building,guided
P0928,Understand,RU,Art History,humanistic,informed,comprehensive_mastery,autonomous
P0934,Create,EC,Ethics,humanistic,novice,competency_development,collaborative
P0935,Apply,AA,Physics,formal,novice,skill_building,collaborative
P0939,Remember,RU,Literature,humanistic,informed,conceptual_orientation,collaborative
P0941,Analyze,AA,History,humanistic,misinformed,competency_development,collaborative
P0942,Remember,RU,Ethics,humanistic,misinformed,comprehensive_mastery,collaborative
P0943,Apply,AA,Ethics,humanistic,misinformed,comprehensive_mastery,guided
P0945,Understand,RU,Mathematics,formal,informed,conceptual_orientation,guided
P0948,Remember,RU,Computer Science,formal,informed,comprehensive_mastery,collaborative
P0952,Remember,RU,Ethics,humanistic,novice,conceptual_orientation,guided
P0955,Understand,RU,Psychology,natural,misinformed,comprehensive_mastery,autonomous
P0960,Analyze,AA,Computer Science,formal,misinformed,conceptual_orientation,collaborative
P0963,Evaluate,EC,Psychology,natural,novice,comprehensive_mastery,guided
P0964,Understand,RU,Mathematics,formal,misinformed,skill_building,guided
P0967,Analyze,AA,Psychology,natural,misinformed,conceptual_orientation,guided
P0973,Understand,RU,Computer Science,formal,informed,competency_development,collaborative
P0979,Understand,RU,Psychology,natural,novice,skill_building,collaborative
P0981,Apply,AA,History,humanistic,informed,conceptual_orientation,guided
P0982,Apply,AA,Psychology,natural,informed,competency_development,collaborative
P0984,Analyze,AA,Sociology,applied,informed,skill_building,collaborative
P0986,Evaluate,EC,Art History,humanistic,informed,conceptual_orientation,autonomous
P0989,Evaluate,EC,Ethics,humanistic,informed,comprehensive_mastery,collaborative
P0991,Evaluate,EC,Psychology,natural,informed,skill_building,collaborative
P0993,Apply,AA,History,humanistic,informed,skill_building,guided
P0994,Analyze,AA,Sociology,applied,informed,skill_building,autonomous
P0995,Analyze,AA,Computer Science,formal,informed,competency_development,guided
P0996,Understand,RU,Ethics,humanistic,misinformed,conceptual_orientation,guided
P0997,Remember,RU,Physics,formal,novice,competency_development,autonomous
P1001,Understand,RU,Ethics,humanistic,novice,competency_development,guided
P1005,Analyze,AA,Mathematics,formal,misinformed,comprehensive_mastery,guided
P1006,Understand,RU,Physics,formal,informed,conceptual_orientation,guided
P1013,Analyze,AA,Biology,natural,informed,competency_development,guided
P1016,Apply,AA,Mathematics,formal,informed,competency_development,guided
P1017,Analyze,AA,Sociology,applied,novice,comprehensive_mastery,guided
P1018,Understand,RU,History,humanistic,informed,comprehensive_mastery,guided
P1023,Remember,RU,Biology,natural,informed,competency_development,collaborative
P1024,Evaluate,EC,Art History,humanistic,novice,conceptual_orientation,guided
P1025,Understand,RU,Physics,formal,misinformed,skill_building,autonomous
P1036,Create,EC,Ethics,humanistic,informed,conceptual_orientation,guided
P1037,Apply,AA,History,humanistic,misinformed,competency_development,guided
P1039,Understand,RU,Art History,humanistic,informed,skill_building,guided
P1041,Analyze,AA,Computer Science,formal,informed,conceptual_orientation,guided
P1043,Evaluate,EC,Mathematics,formal,misinformed,skill_building,guided
P1046,Remember,RU,Sociology,applied,misinformed,comprehensive_mastery,guided
P1050,Evaluate,EC,History,humanistic,novice,competency_development,autonomous
P1051,Evaluate,EC,Psychology,natural,informed,competency_development,guided
P1052,Analyze,AA,Sociology,applied,misinformed,competency_development,guided
P1054,Understand,RU,History,humanistic,novice,conceptual_orientation,guided
P1056,Create,EC,History,humanistic,misinformed,skill_building,collaborative
P1059,Understand,RU,History,humanistic,informed,skill_building,guided
P1062,Evaluate,EC,Mathematics,formal,novice,conceptual_orientation,guided
P1063,Remember,RU,Psychology,natural,novice,comprehensive_mastery,guided
P1067,Analyze,AA,Ethics,humanistic,informed,skill_building,guided
P1074,Evaluate,EC,Physics,formal,novice,skill_building,collaborative
P1075,Analyze,AA,Literature,humanistic,informed,comprehensive_mastery,guided
P1076,Remember,RU,Biology,natural,informed,competency_development,guided
P1079,Evaluate,EC,History,humanistic,informed,skill_building,collaborative
P1086,Evaluate,EC,Computer Science,formal,novice,competency_development,collaborative
P1088,Understand,RU,Sociology,applied,misinformed,competency_development,guided
P1089,Understand,RU,Sociology,applied,misinformed,conceptual_orientation,guided
P1091,Remember,RU,Sociology,applied,misinformed,competency_development,guided
P1092,Remember,RU,Sociology,applied,misinformed,skill_building,guided
P1094,Create,EC,Computer Science,formal,novice,comprehensive_mastery,guided
P1099,Understand,RU,Art History,humanistic,misinformed,competency_development,collaborative
P1102,Evaluate,EC,Ethics,humanistic,informed,competency_development,guided
P1105,Analyze,AA,Sociology,applied,novice,competency_development,guided
P1106,Evaluate,EC,Psychology,natural,misinformed,conceptual_orientation,guided
P1107,Analyze,AA,Literature,humanistic,misinformed,competency_development,collaborative
P1108,Remember,RU,Ethics,humanistic,misinformed,conceptual_orientation,guided
P1109,Apply,AA,Ethics,humanistic,informed,comprehensive_mastery,collaborative
P1111,Evaluate,EC,Physics,formal,informed,comprehensive_mastery,collaborative
P1114,Evaluate,EC,Physics,formal,informed,conceptual_orientation,autonomous
P1117,Remember,RU,Physics,formal,novice,competency_development,guided
P1120,Evaluate,EC,History,humanistic,novice,skill_building,guided
P1127,Create,EC,Literature,humanistic,novice,conceptual_orientation,guided
P1132,Analyze,AA,Literature,humanistic,misinformed,comprehensive_mastery,guided
P1133,Apply,AA,Physics,formal,misinformed,conceptual_orientation,guided
P1137,Evaluate,EC,Computer Science,formal,novice,comprehensive_mastery,collaborative
P1138,Analyze,AA,Computer Science,formal,misinformed,comprehensive_mastery,guided
P1142,Understand,RU,Computer Science,formal,novice,conceptual_orientation,autonomous
P1145,Evaluate,EC,Biology,natural,misinformed,comprehensive_mastery,collaborative
P1147,Apply,AA,Sociology,applied,informed,skill_building,collaborative
P1148,Create,EC,Sociology,applied,informed,comprehensive_mastery,guided
P1150,Evaluate,EC,Art History,humanistic,novice,comprehensive_mastery,collaborative
P1155,Remember,RU,Psychology,natural,novice,competency_development,guided
P1157,Apply,AA,Psychology,natural,misinformed,comprehensive_mastery,guided
P1158,Remember,RU,Mathematics,formal,misinformed,comprehensive_mastery,autonomous
P1163,Remember,RU,Psychology,natural,informed,conceptual_orientation,autonomous
P1168,Analyze,AA,Psychology,natural,novice,comprehensive_mastery,guided
P1169,Apply,AA,Literature,humanistic,misinformed,comprehensive_mastery,guided
P1170,Remember,RU,History,humanistic,novice,conceptual_orientation,autonomous
P1171,Understand,RU,Ethics,humanistic,misinformed,conceptual_orientation,autonomous
P1173,Understand,RU,Computer Science,formal,informed,comprehensive_mastery,collaborative
P1175,Remember,RU,Sociology,applied,informed,skill_building,guided
P1176,Apply,AA,Biology,natural,novice,skill_building,collaborative
P1178,Analyze,AA,Computer Science,formal,misinformed,comprehensive_mastery,collaborative
P1179,Evaluate,EC,Literature,humanistic,misinformed,comprehensive_mastery,collaborative
P1180,Understand,RU,Biology,natural,informed,competency_development,autonomous
P1181,Evaluate,EC,Ethics,humanistic,informed,conceptual_orientation,guided
P1184,Understand,RU,History,humanistic,misinformed,skill_building,collaborative
P1186,Understand,RU,Ethics,humanistic,novice,conceptual_orientation,collaborative
P1187,Understand,RU,Literature,humanistic,novice,comprehensive_mastery,guided
P1189,Apply,AA,Biology,natural,novice,conceptual_orientation,collaborative
P1190,Apply,AA,Ethics,humanistic,novice,conceptual_orientation,collaborative
P1192,Remember,RU,Ethics,humanistic,misinformed,competency_development,guided
P1193,Create,EC,Literature,humanistic,misinformed,competency_development,collaborative
P1194,Apply,AA,Ethics,humanistic,informed,conceptual_orientation,collaborative
P1195,Remember,RU,Computer Science,formal,misinformed,conceptual_orientation,guided
P1196,Understand,RU,History,humanistic,novice,comprehensive_mastery,guided
P1198,Apply,AA,Biology,natural,informed,skill_building,collaborative
P1201,Understand,RU,Biology,natural,misinformed,competency_development,guided
P1202,Create,EC,History,humanistic,informed,conceptual_orientation,collaborative
P1203,Apply,AA,Sociology,applied,informed,competency_development,guided
P1204,Remember,RU,History,humanistic,misinformed,skill_building,guided
P1207,Understand,RU,Computer Science,formal,novice,skill_building,guided
P1210,Analyze,AA,Sociology,applied,informed,conceptual_orientation,collaborative
P1211,Create,EC,Physics,formal,informed,conceptual_orientation,collaborative
P1213,Remember,RU,Art History,humanistic,novice,skill_building,guided
P1214,Understand,RU,Psychology,natural,novice,competency_development,collaborative
P1216,Analyze,AA,Ethics,humanistic,misinformed,conceptual_orientation,collaborative
P1218,Understand,RU,Psychology,natural,novice,comprehensive_mastery,collaborative
P1220,Remember,RU,Literature,humanistic,misinformed,comprehensive_mastery,collaborative
P1221,Apply,AA,Physics,formal,informed,competency_development,guided
P1233,Understand,RU,Literature,humanistic,informed,comprehensive_mastery,collaborative
P1235,Understand,RU,Literature,humanistic,misinformed,comprehensive_mastery,guided
P1242,Understand,RU,Art History,humanistic,informed,conceptual_orientation,guided
P1243,Create,EC,Literature,humanistic,misinformed,conceptual_orientation,guided
P1249,Analyze,AA,Physics,formal,informed,competency_development,guided
P1251,Evaluate,EC,Art History,humanistic,misinformed,competency_development,guided
P1252,Create,EC,Sociology,applied,misinformed,competency_development,collaborative
P1258,Apply,AA,Art History,humanistic,novice,competency_development,collaborative
P1259,Understand,RU,History,humanistic,informed,skill_building,autonomous
P1261,Evaluate,EC,History,humanistic,informed,conceptual_orientation,guided
P1262,Analyze,AA,Physics,formal,novice,competency_development,guided
P1263,Remember,RU,Psychology,natural,informed,conceptual_orientation,guided
P1266,Evaluate,EC,Biology,natural,novice,conceptual_orientation,guided
P1268,Understand,RU,Computer Science,formal,misinformed,conceptual_orientation,autonomous
P1269,Evaluate,EC,History,humanistic,misinformed,comprehensive_mastery,guided
