prompt_id,bloom,bloom_band,subject,subject_family,knowledge_state,learning_stage,learning_context
P0045,Create,EC,Physics,formal,misinformed,conceptual_orientation,guided
P0046,Create,EC,Art History,humanistic,misinformed,skill_building,guided
P0047,Evaluate,EC,Biology,natural,novice,skill_building,autonomous
P0048,Remember,RU,Sociology,applied,novice,skill_building,guided
P0049,Create,EC,History,humanistic,novice,conceptual_orientation,autonomous
P0050,Evaluate,EC,Art History,humanistic,novice,comprehensive_mastery,autonomous
P0051,Analyze,AA,Mathematics,formal,informed,comprehensive_mastery,guided
P0052,Apply,AA,Sociology,applied,misinformed,conceptual_orientation,collaborative
P0053,Apply,AA,Psychology,natural,informed,skill_building,autonomous
P0054,Apply,AA,Literature,humanistic,novice,comprehensive_mastery,autonomous
P0055,Analyze,AA,Art History,humanistic,novice,competency_development,guided
P0056,Apply,AA,Sociology,applied,misinformed,comprehensive_mastery,collaborative
P0057,Analyze,AA,Biology,natural,misinformed,comprehensive_mastery,guided
P0058,Remember,RU,Art History,humanistic,novice,competency_development,autonomous
P0059,Remember,RU,Biology,natural,novice,comprehensive_mastery,guided
P0060,Evaluate,EC,Literature,humanistic,informed,comprehensive_mastery,collaborative
P0061,Apply,AA,Psychology,natural,misinformed,competency_development,guided
P0062,Analyze,AA,Literature,humanistic,informed,competency_development,collaborative
P0063,Create,EC,Mathematics,formal,misinformed,comprehensive_mastery,autonomous
P0064,Evaluate,EC,Art History,humanistic,informed,competency_development,collaborative
P0065,Understand,RU,Mathematics,formal,informed,skill_building,autonomous
P0066,Remember,RU,Ethics,humanistic,novice,skill_building,collaborative
P0067,Apply,AA,Mathematics,formal,misinformed,conceptual_orientation,autonomous
P0068,Understand,RU,Mathematics,formal,misinformed,competency_development,autonomous
P0069,Remember,RU,Psychology,natural,misinformed,competency_development,autonomous
P0070,Create,EC,Ethics,humanistic,novice,skill_building,autonomous
P0071,Apply,AA,Physics,formal,informed,comprehensive_mastery,autonomous
P0072,Apply,AA,Computer Science,formal,informed,conceptual_orientation,collaborative
P0073,Analyze,AA,Literature,humanistic,misinformed,skill_building,collaborative
P0074,Apply,AA,Psychology,natural,novice,skill_building,guided
P0075,Create,EC,History,humanistic,novice,competency_development,autonomous
P0076,Understand,RU,Art History,humanistic,novice,competency_development,guided
P0077,Understand,RU,History,humanistic,informed,competency_development,guided
P0078,Create,EC,Psychology,natural,misinformed,conceptual_orientation,collaborative
P0079,Evaluate,EC,Physics,formal,informed,competency_development,autonomous
P0080,Understand,RU,Psychology,natural,informed,comprehensive_mastery,guided
P0081,Apply,AA,Psychology,natural,informed,competency_development,guided
P0082,Analyze,AA,Psychology,natural,novice,competency_development,guided
P0083,Apply,AA,Sociology,applied,misinformed,skill_building,collaborative
P0084,Evaluate,EC,Psychology,natural,misinformed,competency_development,collaborative
P0085,Create,EC,Computer Science,formal,misinformed,skill_building,guided
P0086,Analyze,AA,Physics,formal,informed,skill_building,guided
P0087,Analyze,AA,Art History,humanistic,informed,competency_development,guided
P0088,Analyze,AA,History,humanistic,novice,conceptual_orientation,collaborative
P0089,Evaluate,EC,Computer Science,formal,misinformed,competency_development,guided
P0090,Analyze,AA,Art History,humanistic,misinformed,skill_building,guided
P0091,Apply,AA,Art History,humanistic,misinformed,conceptual_orientation,guided
P0092,Understand,RU,Literature,humanistic,informed,competency_development,guided
P0093,Understand,RU,Art History,humanistic,novice,competency_development,autonomous
P0094,Create,EC,History,humanistic,misinformed,competency_development,guided
P0095,Create,EC,Biology,natural,novice,skill_building,autonomous
P0096,Apply,AA,Psychology,natural,informed,conceptual_orientation,autonomous
P0097,Remember,RU,Mathematics,formal,informed,comprehensive_mastery,collaborative
P0098,Evaluate,EC,Physics,formal,novice,conceptual_orientation,autonomous
P0099,Evaluate,EC,Mathematics,formal,novice,conceptual_orientation,autonomous
P0100,Analyze,AA,Art History,humanistic,informed,comprehensive_mastery,collaborative
P0101,Remember,RU,Psychology,natural,informed,competency_development,autonomous
P0102,Evaluate,EC,History,humanistic,novice,competency_development,guided
P0103,Remember,RU,Psychology,natural,informed,skill_building,guided
P0104,Understand,RU,Ethics,humanistic,novice,comprehensive_mastery,guided
P0105,Create,EC,Art History,humanistic,informed,conceptual_orientation,guided
P0106,Remember,RU,Psychology,natural,novice,conceptual_orientation,autonomous
P0107,Understand,RU,Art History,humanistic,novice,skill_building,guided
P0108,Remember,RU,Sociology,applied,novice,conceptual_orientation,collaborative
P0109,Evaluate,EC,Biology,natural,informed,skill_building,autonomous
P0110,Create,EC,Sociology,applied,misinformed,skill_building,collaborative
P0111,Understand,RU,Psychology,natural,informed,conceptual_orientation,autonomous
P0112,Remember,RU,Psychology,natural,informed,skill_building,collaborative
P0113,Create,EC,Computer Science,formal,misinformed,conceptual_orientation,guided
P0114,Remember,RU,Computer Science,formal,novice,conceptual_orientation,guided
P0115,Analyze,AA,History,humanistic,novice,skill_building,guided
P0116,Remember,RU,Art History,humanistic,misinformed,competency_development,autonomous
P0117,Create,EC,History,humanistic,misinformed,comprehensive_mastery,guided
P0118,Apply,AA,Ethics,humanistic,misinformed,conceptual_orientation,autonomous
P0119,Understand,RU,Physics,formal,novice,conceptual_orientation,guided
P0120,Evaluate,EC,Sociology,applied,novice,comprehensive_mastery,collaborative
P0121,Analyze,AA,History,humanistic,informed,comprehensive_mastery,autonomous
P0122,Understand,RU,Biology,natural,novice,competency_development,autonomous
P0123,Remember,RU,Ethics,humanistic,novice,competency_development,guided
P0124,Evaluate,EC,Biology,natural,novice,competency_development,autonomous
P0125,Analyze,AA,Physics,formal,informed,conceptual_orientation,collaborative
P0126,Understand,RU,Ethics,humanistic,informed,comprehensive_mastery,guided
P0127,Analyze,AA,Art History,humanistic,informed,comprehensive_mastery,guided
P0128,Evaluate,EC,Biology,natural,informed,conceptual_orientation,collaborative
P0129,Evaluate,EC,Sociology,applied,informed,conceptual_orientation,guided
P0130,Analyze,AA,Psychology,natural,misinformed,skill_building,collaborative
P0131,Apply,AA,Sociology,applied,novice,competency_development,guided
P0132,Remember,RU,Literature,humanistic,misinformed,comprehensive_mastery,guided
P0133,Remember,RU,Literature,humanistic,misinformed,skill_building,guided
P0134,Apply,AA,Ethics,humanistic,informed,conceptual_orientation,autonomous
P0135,Create,EC,Sociology,applied,misinformed,conceptual_orientation,guided
P0136,Create,EC,Sociology,applied,informed,competency_development,guided
P0137,Understand,RU,Physics,formal,informed,comprehensive_mastery,guided
P0138,Remember,RU,Biology,natural,novice,conceptual_orientation,guided
P0139,Analyze,AA,Mathematics,formal,misinformed,skill_building,collaborative
P0140,Apply,AA,Art History,humanistic,misinformed,comprehensive_mastery,guided
P0141,Analyze,AA,Biology,natural,misinformed,competency_development,guided
P0142,Remember,RU,Physics,formal,misinformed,skill_building,collaborative
P0143,Understand,RU,Psychology,natural,novice,conceptual_orientation,autonomous
P0144,Evaluate,EC,History,humanistic,novice,skill_building,autonomous
P0145,Apply,AA,Mathematics,formal,novice,competency_development,guided
P0146,Analyze,AA,Literature,humanistic,informed,conceptual_orientation,collaborative
P0147,Create,EC,Physics,formal,misinformed,conceptual_orientation,autonomous
P0148,Understand,RU,Physics,formal,misinformed,competency_development,guided
P0149,Remember,RU,Art History,humanistic,novice,conceptual_orientation,collaborative
P0150,Analyze,AA,Mathematics,formal,novice,conceptual_orientation,autonomous
P0151,Remember,RU,Literature,humanistic,informed,competency_development,collaborative
P0152,Remember,RU,Biology,natural,misinformed,skill_building,autonomous
P0153,Analyze,AA,Psychology,natural,novice,skill_building,guided
P0154,Apply,AA,Psychology,natural,novice,skill_building,autonomous
P0155,Evaluate,EC,History,humanistic,novice,skill_building,collaborative
P0156,Apply,AA,Biology,natural,misinformed,competency_development,autonomous
P0157,Create,EC,Literature,humanistic,informed,competency_development,autonomous
P0158,Analyze,AA,History,humanistic,novice,competency_development,collaborative
P0159,Remember,RU,Computer Science,formal,informed,skill_building,guided
P0160,Evaluate,EC,Art History,humanistic,novice,conceptual_orientation,autonomous
P0161,Remember,RU,Mathematics,formal,novice,comprehensive_mastery,collaborative
P0162,Create,EC,Physics,formal,informed,comprehensive_mastery,collaborative
P0163,Remember,RU,Ethics,humanistic,misinformed,competency_development,autonomous
P0164,Create,EC,Psychology,natural,misinformed,competency_development,collaborative
P0165,Understand,RU,Literature,humanistic,misinformed,competency_development,guided
P0166,Remember,RU,Mathematics,formal,misinformed,conceptual_orientation,autonomous
P0167,Understand,RU,Biology,natural,novice,skill_building,collaborative
P0168,Apply,AA,Ethics,humanistic,novice,skill_building,autonomous
P0169,Evaluate,EC,Biology,natural,novice,comprehensive_mastery,guided
P0170,Apply,AA,Literature,humanistic,informed,competency_development,autonomous
P0171,Understand,RU,Psychology,natural,novice,competency_development,guided
P0172,Remember,RU,Sociology,applied,novice,skill_building,collaborative
P0173,Evaluate,EC,Sociology,applied,novice,skill_building,collaborative
P0174,Create,EC,Physics,formal,informed,skill_building,collaborative
P0175,Analyze,AA,Mathematics,formal,informed,competency_development,collaborative
P0176,Apply,AA,Sociology,applied,novice,comprehensive_mastery,autonomous
P0177,Apply,AA,Computer Science,formal,informed,skill_building,autonomous
P0178,Create,EC,Physics,formal,misinformed,conceptual_orientation,collaborative
P0179,Analyze,AA,Computer Science,formal,informed,conceptual_orientation,autonomous
P0180,Apply,AA,Sociology,applied,misinformed,conceptual_orientation,guided
P0181,Evaluate,EC,Psychology,natural,informed,comprehensive_mastery,guided
P0182,Evaluate,EC,Psychology,natural,misinformed,conceptual_orientation,autonomous
P0183,Apply,AA,Physics,formal,misinformed,comprehensive_mastery,collaborative
P0184,Create,EC,Sociology,applied,novice,conceptual_orientation,autonomous
P0185,Apply,AA,Computer Science,formal,misinformed,skill_building,collaborative
P0186,Apply,AA,Art History,humanistic,informed,competency_development,autonomous
P0187,Evaluate,EC,Psychology,natural,informed,comprehensive_mastery,autonomous
P0188,Remember,RU,Biology,natural,informed,skill_building,guided
P0189,Create,EC,Biology,natural,novice,competency_development,collaborative
P0190,Apply,AA,Computer Science,formal,informed,conceptual_orientation,guided
P0191,Apply,AA,Sociology,applied,misinformed,competency_development,autonomous
P0192,Understand,RU,History,humanistic,misinformed,comprehensive_mastery,autonomous
P0193,Understand,RU,Physics,formal,misinformed,competency_development,autonomous
P0194,Analyze,AA,Physics,formal,misinformed,competency_development,collaborative
P0195,Analyze,AA,Psychology,natural,informed,conceptual_orientation,collaborative
P0196,Create,EC,Psychology,natural,novice,competency_development,guided
P0197,Create,EC,Art History,humanistic,misinformed,comprehensive_mastery,autonomous
P0198,Remember,RU,Computer Science,formal,misinformed,comprehensive_mastery,collaborative
P0199,Remember,RU,Sociology,applied,informed,comprehensive_mastery,guided
P0200,Remember,RU,Art History,humanistic,informed,competency_development,collaborative
P0201,Apply,AA,Computer Science,formal,misinformed,comprehensive_mastery,collaborative
P0202,Remember,RU,Computer Science,formal,informed,competency_development,collaborative
P0203,Analyze,AA,Computer Science,formal,informed,competency_development,collaborative
P0204,Apply,AA,Sociology,applied,informed,competency_development,collaborative
P0205,Apply,AA,Biology,natural,informed,comprehensive_mastery,guided
P0206,Analyze,AA,Psychology,natural,misinformed,comprehensive_mastery,guided
P0207,Create,EC,Mathematics,formal,novice,conceptual_orientation,collaborative
P0208,Analyze,AA,Mathematics,formal,novice,competency_development,collaborative
P0209,Evaluate,EC,Ethics,humanistic,novice,comprehensive_mastery,guided
P0210,Understand,RU,Sociology,applied,novice,competency_development,collaborative
P0211,Evaluate,EC,Art History,humanistic,novice,conceptual_orientation,collaborative
P0212,Apply,AA,Literature,humanistic,misinformed,competency_development,collaborative
P0213,Apply,AA,Physics,formal,novice,competency_development,autonomous
P0214,Remember,RU,Mathematics,formal,novice,skill_building,autonomous
P0215,Create,EC,Literature,humanistic,novice,skill_building,collaborative
P0216,Create,EC,Mathematics,formal,informed,comprehensive_mastery,guided
P0217,Understand,RU,Sociology,applied,informed,competency_development,collaborative
P0218,Understand,RU,Biology,natural,misinformed,comprehensive_mastery,guided
P0219,Remember,RU,History,humanistic,misinformed,conceptual_orientation,guided
P0220,Create,EC,Mathematics,formal,informed,competency_development,autonomous
P0221,Analyze,AA,Computer Science,formal,novice,conceptual_orientation,autonomous
P0222,Apply,AA,History,humanistic,misinformed,skill_building,collaborative
P0223,Evaluate,EC,Biology,natural,misinformed,conceptual_orientation,guided
P0224,Apply,AA,History,humanistic,novice,comprehensive_mastery,guided
P0225,Analyze,AA,Literature,humanistic,novice,comprehensive_mastery,autonomous
P0226,Understand,RU,Literature,humanistic,novice,skill_building,collaborative
P0227,Apply,AA,Biology,natural,misinformed,skill_building,guided
P0228,Understand,RU,Mathematics,formal,informed,competency_development,guided
P0229,Remember,RU,Biology,natural,novice,skill_building,autonomous
P0230,Understand,RU,Biology,natural,misinformed,conceptual_orientation,collaborative
P0231,Analyze,AA,Art History,humanistic,novice,skill_building,autonomous
P0232,Remember,RU,Ethics,humanistic,informed,competency_development,collaborative
P0233,Evaluate,EC,Psychology,natural,novice,comprehensive_mastery,collaborative
P0234,Remember,RU,Mathematics,formal,novice,conceptual_orientation,guided
P0235,Create,EC,Mathematics,formal,misinformed,skill_building,guided
P0236,Create,EC,Psychology,natural,misinformed,competency_development,guided
P0237,Analyze,AA,History,humanistic,misinformed,conceptual_orientation,guided
P0238,Remember,RU,Physics,formal,informed,skill_building,collaborative
P0239,Apply,AA,Mathematics,formal,novice,skill_building,collaborative
P0240,Apply,AA,History,humanistic,informed,comprehensive_mastery,collaborative
P0241,Analyze,AA,Biology,natural,informed,conceptual_orientation,guided
P0242,Create,EC,Mathematics,formal,novice,conceptual_orientation,guided
P0243,Create,EC,Psychology,natural,novice,competency_development,autonomous
P0244,Create,EC,Physics,formal,informed,skill_building,autonomous
P0245,Remember,RU,Art History,humanistic,misinformed,skill_building,autonomous
P0246,Analyze,AA,Biology,natural,informed,conceptual_orientation,collaborative
P0247,Create,EC,Ethics,humanistic,misinformed,comprehensive_mastery,guided
P0248,Understand,RU,Computer Science,formal,misinformed,competency_development,guided
P0249,Analyze,AA,Psychology,natural,novice,conceptual_orientation,autonomous
P0250,Understand,RU,History,humanistic,informed,conceptual_orientation,guided
P0251,Understand,RU,Ethics,humanistic,informed,competency_development,collaborative
P0252,Apply,AA,Mathematics,formal,informed,comprehensive_mastery,collaborative
P0253,Understand,RU,Literature,humanistic,informed,comprehensive_mastery,autonomous
P0254,Remember,RU,Biology,natural,misinformed,competency_development,autonomous
P0255,Create,EC,Literature,humanistic,informed,comprehensive_mastery,collaborative
P0256,Create,EC,Mathematics,formal,informed,conceptual_orientation,collaborative
P0257,Create,EC,Art History,humanistic,misinformed,competency_development,guided
P0258,Understand,RU,Art History,humanistic,misinformed,competency_development,guided
P0259,Understand,RU,History,humanistic,informed,comprehensive_mastery,collaborative
P0260,Remember,RU,History,humanistic,informed,conceptual_orientation,guided
P0261,Remember,RU,Mathematics,formal,informed,competency_development,autonomous
P0262,Create,EC,Mathematics,formal,informed,conceptual_orientation,autonomous
P0263,Remember,RU,Mathematics,formal,informed,comprehensive_mastery,autonomous
P0264,Apply,AA,Biology,natural,novice,competency_development,autonomous
P0265,Understand,RU,Sociology,applied,novice,comprehensive_mastery,autonomous
P0266,Apply,AA,Mathematics,formal,novice,skill_building,autonomous
P0267,Remember,RU,Mathematics,formal,misinformed,conceptual_orientation,guided
P0268,Evaluate,EC,History,humanistic,misinformed,skill_building,autonomous
P0269,Understand,RU,Computer Science,formal,novice,skill_building,autonomous
P0270,Create,EC,Art History,humanistic,novice,conceptual_orientation,collaborative
P0271,Create,EC,Psychology,natural,novice,competency_development,collaborative
P0272,Evaluate,EC,Computer Science,formal,novice,conceptual_orientation,guided
P0273,Create,EC,Art History,humanistic,informed,skill_building,collaborative
P0274,Remember,RU,Physics,formal,informed,comprehensive_mastery,collaborative
P0275,Understand,RU,Ethics,humanistic,novice,skill_building,guided
P0276,Remember,RU,Computer Science,formal,novice,competency_development,collaborative
P0277,Analyze,AA,Physics,formal,misinformed,comprehensive_mastery,guided
P0278,Evaluate,EC,Biology,natural,informed,comprehensive_mastery,autonomous
P0279,Evaluate,EC,Physics,formal,novice,skill_building,autonomous
P0280,Evaluate,EC,Psychology,natural,informed,conceptual_orientation,guided
P0281,Apply,AA,Art History,humanistic,novice,competency_development,autonomous
P0282,Understand,RU,Biology,natural,novice,comprehensive_mastery,guided
P0283,Create,EC,History,humanistic,novice,conceptual_orientation,guided
P0284,Remember,RU,Computer Science,formal,misinformed,skill_building,guided
P0285,Remember,RU,Psychology,natural,novice,skill_building,guided
P0286,Remember,RU,Mathematics,formal,informed,conceptual_orientation,guided
P0287,Apply,AA,Mathematics,formal,informed,comprehensive_mastery,guided
P0288,Remember,RU,Literature,humanistic,novice,comprehensive_mastery,guided
P0289,Apply,AA,Computer Science,formal,informed,competency_development,autonomous
P0290,Apply,AA,Psychology,natural,misinformed,conceptual_orientation,autonomous
P0291,Analyze,AA,Physics,formal,informed,conceptual_orientation,autonomous
P0292,Remember,RU,Sociology,applied,informed,competency_development,collaborative
P0293,Create,EC,Psychology,natural,novice,comprehensive_mastery,collaborative
P0294,Create,EC,Art History,humanistic,informed,conceptual_orientation,collaborative
P0295,Create,EC,Biology,natural,informed,competency_development,collaborative
P0296,Evaluate,EC,Computer Science,formal,novice,comprehensive_mastery,autonomous
P0297,Understand,RU,Biology,natural,novice,skill_building,guided
P0298,Understand,RU,Sociology,applied,misinformed,skill_building,autonomous
P0299,Evaluate,EC,Mathematics,formal,misinformed,comprehensive_mastery,guided
P0300,Remember,RU,Literature,humanistic,informed,skill_building,autonomous
P0301,Evaluate,EC,Physics,formal,misinformed,conceptual_orientation,guided
P0302,Remember,RU,Art History,humanistic,informed,skill_building,guided
P0303,Apply,AA,Biology,natural,informed,competency_development,autonomous
P0304,Analyze,AA,Literature,humanistic,novice,skill_building,collaborative
P0305,Create,EC,Physics,formal,informed,conceptual_orientation,autonomous
P0306,Apply,AA,Art History,humanistic,informed,conceptual_orientation,autonomous
P0307,Analyze,AA,Biology,natural,novice,conceptual_orientation,autonomous
P0308,Create,EC,History,humanistic,misinformed,comprehensive_mastery,collaborative
P0309,Apply,AA,Sociology,applied,misinformed,comprehensive_mastery,guided
P0310,Apply,AA,Computer Science,formal,novice,competency_development,guided
P0311,Remember,RU,Psychology,natural,misinformed,competency_development,guided
P0312,Understand,RU,Sociology,applied,informed,competency_development,autonomous
P0313,Create,EC,Physics,formal,informed,comprehensive_mastery,guided
P0314,Understand,RU,Mathematics,formal,misinformed,competency_development,guided
P0315,Apply,AA,Psychology,natural,misinformed,comprehensive_mastery,collaborative
P0316,Apply,AA,Ethics,humanistic,novice,skill_building,guided
P0317,Analyze,AA,Psychology,natural,informed,conceptual_orientation,autonomous
P0318,Apply,AA,Art History,humanistic,novice,skill_building,guided
P0319,Understand,RU,Mathematics,formal,informed,comprehensive_mastery,guided
P0320,Apply,AA,Biology,natural,novice,competency_development,guided
P0321,Remember,RU,Physics,formal,misinformed,competency_development,guided
P0322,Analyze,AA,Art History,humanistic,informed,competency_development,collaborative
P0323,Understand,RU,Art History,humanistic,novice,skill_building,collaborative
P0324,Remember,RU,Physics,formal,informed,skill_building,autonomous
P0325,Understand,RU,History,humanistic,misinformed,competency_development,autonomous
P0326,Create,EC,Psychology,natural,informed,conceptual_orientation,collaborative
P0327,Understand,RU,Sociology,applied,misinformed,comprehensive_mastery,autonomous
P0328,Analyze,AA,Ethics,humanistic,informed,competency_development,autonomous
P0329,Evaluate,EC,Computer Science,formal,informed,conceptual_orientation,collaborative
P0330,Remember,RU,Sociology,applied,novice,comprehensive_mastery,autonomous
P0331,Evaluate,EC,Sociology,applied,misinformed,conceptual_orientation,guided
P0332,Understand,RU,Physics,formal,novice,conceptual_orientation,collaborative
P0333,Create,EC,Sociology,applied,novice,comprehensive_mastery,guided
P0334,Evaluate,EC,Biology,natural,novice,conceptual_orientation,collaborative
P0335,Understand,RU,Art History,humanistic,novice,skill_building,autonomous
P0336,Evaluate,EC,Computer Science,formal,misinformed,conceptual_orientation,guided
P0337,Remember,RU,Physics,formal,informed,conceptual_orientation,guided
P0338,Analyze,AA,History,humanistic,novice,skill_building,collaborative
P0339,Analyze,AA,Physics,formal,informed,competency_development,collaborative
P0340,Analyze,AA,Computer Science,formal,misinformed,competency_development,autonomous
P0341,Understand,RU,Biology,natural,informed,conceptual_orientation,collaborative
P0342,Analyze,AA,Physics,formal,misinformed,conceptual_orientation,autonomous
P0343,Remember,RU,Biology,natural,misinformed,comprehensive_mastery,guided
P0344,Remember,RU,History,humanistic,misinformed,comprehensive_mastery,collaborative
P0345,Apply,AA,Biology,natural,misinformed,conceptual_orientation,guided
P0346,Create,EC,Computer Science,formal,informed,skill_building,collaborative
P0347,Understand,RU,Art History,humanistic,informed,comprehensive_mastery,guided
P0348,Create,EC,Mathematics,formal,novice,comprehensive_mastery,guided
P0349,Create,EC,Mathematics,formal,novice,skill_building,guided
P0350,Apply,AA,Computer Science,formal,misinformed,conceptual_orientation,guided
P0351,Evaluate,EC,History,humanistic,informed,comprehensive_mastery,collaborative
P0352,Evaluate,EC,Physics,formal,misinformed,skill_building,autonomous
P0353,Understand,RU,Psychology,natural,informed,skill_building,guided
P0354,Remember,RU,Mathematics,formal,misinformed,competency_development,autonomous
P0355,Understand,RU,Ethics,humanistic,novice,conceptual_orientation,guided
P0356,Understand,RU,Sociology,applied,informed,conceptual_orientation,collaborative
P0357,Understand,RU,Ethics,humanistic,informed,comprehensive_mastery,collaborative
P0358,Analyze,AA,Mathematics,formal,novice,skill_building,guided
P0359,Analyze,AA,Literature,humanistic,informed,comprehensive_mastery,autonomous
P0360,Analyze,AA,Computer Science,formal,misinformed,conceptual_orientation,guided
P0361,Apply,AA,History,humanistic,novice,conceptual_orientation,guided
P0362,Understand,RU,History,humanistic,novice,competency_development,guided
P0363,Create,EC,Computer Science,formal,novice,competency_development,collaborative
P0364,Understand,RU,Ethics,humanistic,informed,conceptual_orientation,guided
P0365,Create,EC,Art History,humanistic,novice,competency_development,guided
P0366,Evaluate,EC,Ethics,humanistic,misinformed,competency_development,autonomous
P0367,Remember,RU,Literature,humanistic,informed,comprehensive_mastery,collaborative
P0368,Apply,AA,Computer Science,formal,novice,skill_building,autonomous
P0369,Create,EC,History,humanistic,novice,skill_building,guided
P0370,Apply,AA,History,humanistic,novice,skill_building,guided
P0371,Evaluate,EC,Physics,formal,misinformed,comprehensive_mastery,collaborative
P0372,Analyze,AA,Literature,humanistic,misinformed,comprehensive_mastery,autonomous
P0373,Create,EC,Physics,formal,novice,conceptual_orientation,autonomous
P0374,Apply,AA,Literature,humanistic,informed,conceptual_orientation,guided
P0375,Apply,AA,Mathematics,formal,misinformed,comprehensive_mastery,guided
P0376,Analyze,AA,Physics,formal,misinformed,skill_building,collaborative
P0377,Analyze,AA,Psychology,natural,novice,comprehensive_mastery,autonomous
P0378,Analyze,AA,Psychology,natural,misinformed,competency_development,autonomous
P0379,Analyze,AA,Ethics,humanistic,informed,comprehensive_mastery,guided
P0380,Analyze,AA,History,humanistic,informed,competency_development,autonomous
P0381,Analyze,AA,Ethics,humanistic,informed,conceptual_orientation,collaborative
P0382,Understand,RU,Physics,formal,novice,skill_building,collaborative
P0383,Evaluate,EC,Literature,humanistic,novice,conceptual_orientation,guided
P0384,Evaluate,EC,History,humanistic,misinformed,competency_development,autonomous
P0385,Analyze,AA,Sociology,applied,novice,comprehensive_mastery,autonomous
P0386,Analyze,AA,Physics,formal,informed,conceptual_orientation,guided
P0387,Understand,RU,Psychology,natural,misinformed,competency_development,autonomous
P0388,Understand,RU,History,humanistic,novice,skill_building,collaborative
P0389,Analyze,AA,Art History,humanistic,informed,skill_building,autonomous
P0390,Remember,RU,Mathematics,formal,novice,competency_development,autonomous
P0391,Analyze,AA,Ethics,humanistic,novice,competency_development,guided
P0392,Remember,RU,Computer Science,formal,informed,competency_development,guided
P0393,Analyze,AA,Literature,humanistic,misinformed,conceptual_orientation,collaborative
P0394,Analyze,AA,Psychology,natural,novice,conceptual_orientation,collaborative
P0395,Understand,RU,Sociology,applied,informed,skill_building,autonomous
P0396,Remember,RU,Sociology,applied,misinformed,skill_building,collaborative
P0397,Understand,RU,Mathematics,formal,novice,comprehensive_mastery,collaborative
P0398,Create,EC,Art History,humanistic,novice,comprehensive_mastery,autonomous
P0399,Create,EC,Psychology,natural,novice,comprehensive_mastery,autonomous
P0400,Remember,RU,Ethics,humanistic,informed,skill_building,guided
P0401,Apply,AA,Ethics,humanistic,misinformed,conceptual_orientation,guided
P0402,Apply,AA,Computer Science,formal,novice,skill_building,guided
